,Brand,Model,Year,Variant,Location,Version,Number of Owners,KmDriven,Price
26,Maruti,Ciaz,2014,VDI PLUS Manual,Noida,Diesel,1st Owner,113535,492099
27,Maruti,Swift,2013,VDI Manual,Noida,Diesel,1st Owner,114506,330499
28,Hyundai,i20,2013,SPORTZ 1.4 CRDI Manual,Noida,Diesel,1st Owner,64361,364899
29,Maruti,Wagon R 1.0,2013,LXI Manual,Noida,Petrol,1st Owner,151452,234499
30,Maruti,Swift,2015,VDI ABS Manual,Noida,Diesel,1st Owner,89196,406599
31,Maruti,Swift,2014,VXI Manual,Noida,Petrol,1st Owner,107206,392399
32,Maruti,Swift,2013,VDI Manual,Noida,Diesel,1st Owner,122416,319399
33,Ford,Ecosport,2014,1.5 TITANIUMTDCI OPT Manual,Noida,Diesel,1st Owner,156205,455199
34,Maruti,Swift,2013,VDI Manual,Noida,Diesel,1st Owner,83143,327199
35,Maruti,Swift,2014,VDI Manual,Noida,Diesel,1st Owner,64370,380399
36,Hyundai,Elite i20,2015,MAGNA 1.4 CRDI Manual,Noida,Diesel,1st Owner,59041,484199
37,Maruti,Ciaz,2017,VDI+ SHVS Manual,Noida,Diesel,1st Owner,82599,584899
38,Maruti,Swift,2013,ZDI Manual,Noida,Diesel,1st Owner,77409,397899
39,Mahindra,XUV500,2013,W8 FWD Manual,Noida,Diesel,1st Owner,20852,579899
40,Maruti,A Star,2009,LXI Manual,Gurgaon,Petrol,1st Owner,30867,175399
41,Volkswagen,Vento,2014,HIGHLINE PETROL Manual,Gurgaon,Petrol,1st Owner,62625,446899
42,Maruti,Ritz,2010,VXI GENUS Manual,Gurgaon,Petrol,1st Owner,96362,231399
43,Hyundai,Grand i10,2015,MAGNA 1.1 CRDI Manual,Gurgaon,Diesel,2nd Owner,62491,312299
44,Maruti,Swift Dzire,2014,VDI BS IV Manual,Gurgaon,Diesel,1st Owner,96978,416399
45,Maruti,Swift,2015,VDI ABS Manual,Gurgaon,Diesel,1st Owner,44638,432499
46,Maruti,Ciaz,2014,VDI PLUS Manual,Gurgaon,Diesel,1st Owner,113535,492099
47,Maruti,Swift,2013,VDI Manual,Gurgaon,Diesel,1st Owner,114506,330499
48,Hyundai,i20,2013,SPORTZ 1.4 CRDI Manual,Gurgaon,Diesel,1st Owner,64361,364899
